input,intent
What surgical procedures have I had in the past?,surgery
How are you keeping?,feeling
I'm interested in understanding more about the surgical procedures mentioned in my medical records. Can you provide details?,surgery
I need information on the surgical treatments outlined in my medical records. Can you help?,surgery
Can your chatbot handle a wide range of tasks?,info
I need details about any implants mentioned in my patient summary. What has been recorded in my health history?,implants
What should I be cautious about in terms of allergic reactions to household cleaning products?,allergies
Is there a record of my past surgeries in my medical file?,surgery
I'm curious about the surgeries mentioned in my patient records. Can you provide specifics?,surgery
Could you share any information about intolerances that may be present in my medical records?,intolerances
I'm interested in knowing if there are any e-prescriptions mentioned in my medical history. Can you give me details?,prescription
Please give me details about any known drug allergies in my medical records.,allergies
I want information on the present respiratory issues mentioned in my medical history. Can you help?,current_problems
I'd like to know if I have any allergies to common medications. Can you provide a list?,allergies
Could you share any information about implants that may be present in my medical records?,implants
What information do you have about my current prescriptions in my patient history?,prescription
What information do you have about food allergies in my patient history?,allergies
Can you describe the capabilities of your chatbot?,info
I want information on the past respiratory illnesses mentioned in my medical history. Can you help?,illness_history
I'm interested in knowing my surgical history; where should I start?,surgery
Can you provide information about any vaccinations recorded in my medical history?,vaccination
I'd like to know if there are any restrictions or precautions related to my past surgeries.,surgery
Tell me about the surgical procedures that are part of my health records.,surgery
I'm interested in knowing about any ongoing digestive issues in my patient records.,current_problems
Please share details about any recent injuries or health problems documented in my patient history.,current_problems
I want to understand my current health status. Can you provide details on my health problems?,current_problems
Howdy!,hello
Can you provide insights into my allergic responses to specific plants or flowers?,allergies
I'm interested in learning about any implants recorded in my medical history. What can you tell me?,implants
hi I'm maria,hello
Are there specific foods I should be cautious about due to allergies? Please elaborate.,allergies
Are there specific medications prescribed electronically for me? Please provide details.,prescription
Give me an overview of your chatbot's abilities.,info
Please share details on my current health issues and any recommended treatments.,current_problems
I'm interested in knowing what medications are currently prescribed for me. Can you provide details?,prescription
"I'd like to learn more about my allergies, especially related to foods.",allergies
I want information on the MMR vaccine mentioned in my health summary. Can you help?,vaccination
What health problems should I be aware of based on my current medical records?,current_problems
Tell me my allergies,allergies
I'm interested in knowing if there are any intolerances mentioned in my medical history. Can you give me details?,intolerances
I'm curious about potential allergies to certain fabrics. What information do you have on this?,allergies
Give me information about the COVID-19 vaccines recorded in my patient history.,vaccination
Tell me about any allergies or sensitivities I have to certain foods.,allergies
Please give me details about any known implants in my medical records.,implants
I would like to know if there are any documented e-prescriptions in my health records. Can you share that information?,prescription
surgical procedures,surgery
How's life treating you?,feeling
Are there specific types of food I should be cautious about due to intolerances? Please elaborate.,intolerances
Can you inform me about any medications that are currently prescribed and listed in my medical records?,prescription
What can your chatbot do for me?,info
Do I have any upcoming scheduled surgeries documented in my patient profile?,surgery
Can you inform me about any medications prescribed electronically that are listed in my medical records?,prescription
What's the status report on you?,feeling
How versatile is your chatbot's toolkit?,info
Can you provide information on any past episodes of infectious diseases in my medical history?,illness_history
hi,hello
I'm curious about my body's reactions to certain foods and drugs.,allergies
I want to know about my surgeries,surgery
Could you give me an overview of the surgeries documented in my patient history?,surgery
Are there any specific foods that I should avoid due to allergies? Please provide details.,allergies
I need details about potential drug allergies. What has been recorded in my health history?,allergies
I'm interested in learning about potential drug allergies. What can you tell me?,allergies
Provide a summary of the travel vaccinations documented in my health records.,vaccination
What's the good word today?,feeling
I need information on the recovery process for my previous surgeries. Can you help?,surgery
"Can you provide information about my current prescriptions, if any?",prescription
What can you tell me about intolerances that are documented in my patient history?,intolerances
surgery,surgery
Can you give me insights into my allergic responses to specific substances?,allergies
How are you feeling today?,feeling
I need information on my drug allergies.,allergies
I want information on the present respiratory issues mentioned in my medical history. Can you help?,current_problems
Please share details about my existing health problems as per my medical records.,current_problems
I would like to know if there are any documented drug allergies in my health records. Can you share that information?,allergies
Could you list any known intolerances in my medical history?,intolerances
Could you list any known implants in my patient summary?,implants
I want to be aware of any implants listed in my health history. Can you provide that information?,implants
Please share information on my surgical history including dates and procedures.,surgery
Hey!,hello
Can you provide me with a summary of my surgical history?,surgery
food allergies,allergies
Can you provide information on any past infectious diseases recorded in my patient history?,illness_history
What can you tell me about implants that are documented in my patient history?,implants
I need information on the history of gastrointestinal illnesses recorded in my patient records.,illness_history
What are my surgeries?,surgery
Can you provide information about any implants mentioned in my patient summary?,implants
I'm interested in learning about the vaccinations mentioned in my health summary. Can you share details?,vaccination
How are things in your neck of the woods?,feeling
Please provide details on any vaccinations recorded for my children in my medical history.,vaccination
prescription summary,prescription
Provide details on the health problems I am currently facing as per my medical records.,current_problems
Please give me details about any known e-prescriptions in my medical records.,prescription
What are the primary features of your chatbot?,info
Could you provide details about my allergic reactions to medications?,allergies
I want to be aware of any current prescriptions listed in my health history. Can you provide that information?,prescription
Tell me about any ongoing autoimmune disorders mentioned in my health summary.,current_problems
Are there specific drugs I should be cautious about due to allergies? Please elaborate.,allergies
How can I leverage your chatbot's abilities?,info
Is there a report or document that outlines my surgical history?,surgery
I'm interested in learning more about the surgical interventions recorded in my medical records. Could you elaborate?,surgery
Tell me about the vaccinations documented in my patient records.,vaccination
What can you tell me about medications prescribed electronically that are documented in my patient history?,prescription
Can you give me insights into my current health status and any ongoing medical conditions?,current_problems
Tell me about any instances of diabetes or related conditions in my current health status.,current_problems
What do I need to know about my food intolerances?,allergies
Tell me about the vaccinations recommended for someone of my age in my patient history.,vaccination
What is my surgical history?,surgery
Give me an update on the history of cardiovascular illnesses mentioned in my health records.,illness_history
I'm looking for information on the surgeries documented in my medical records. Where can I find details?,surgery
Can you inform me about any allergies to medications that are listed in my medical records?,allergies
I would like to know if there are any documented food allergies in my health records. Can you share that information?,allergies
hi my name is aliki,hello
I'm interested in learning more about any electronic prescriptions that have been issued for me. What information do you have?,prescription
What vaccinations are included in my patient history?,vaccination
I'm curious about any recent health issues. Could you provide details from my patient records?,current_problems
Check if there are any recent instances of skin conditions in my medical history.,current_problems
Give me a summary of the history of illnesses in my medical history.,illness_history
prescription ,prescription
Hello!,hello
Tell me about the tools and functions your chatbot has.,info
Can you tell me about my food allergies?,allergies
I would like information on any surgical treatments listed in my medical records. Can you assist?,surgery
Who can I consult with to discuss my surgical history in detail?,surgery
Tell me about the history of reproductive health issues recorded in my patient history.,illness_history
Can you inform me about any surgical implants that are listed in my medical records?,implants
What's going on in your world?,feeling
Provide details on the history of allergies  especially food allergies  mentioned in my patient records.,illness_history
What functionalities or features are integrated into your chatbot?,info
hey,hello
Could you please elaborate on the surgical interventions recorded in my patient history?,surgery
Provide details on the current state of my musculoskeletal health recorded in my medical records.,current_problems
Are there specific medications prescribed electronically that I should be aware of? Please elaborate.,prescription
Could you share any information about my current prescriptions that may be present in my medical records?,prescription
Can you provide information about any food intolerances I may have?,intolerances
I would like to know if there are any documented implants in my health records. Can you share that information?,implants
I'd like to know the current health conditions documented in my patient profile.,current_problems
What vaccines have been administered to me so far as per my medical history?,vaccination
vaccinations,vaccination
Check if there are any recent vaccinations in my medical records.,vaccination
Can you provide insights into my surgical experiences and their impact on my health?,surgery
Are there specific medications I should be aware of that are part of my current prescription? Please elaborate.,prescription
Can you tell me about my skin allergies and any specific substances I should avoid in skincare products?,allergies
Can you provide me with a timeline of my surgical procedures?,surgery
What information do you have about my previous surgical interventions?,surgery
Please provide information on any documented drug allergies in my health records.,allergies
I'm curious about the types of anesthesia used in my past surgeries. Can you provide details?,surgery
Tell me about any autoimmune disorders mentioned in my health summary.,illness_history
How can I obtain a copy of my surgical history for my own records?,surgery
hello,hello
Give me an update on my current mental health diagnoses based on my health records.,current_problems
Please share details about any ongoing cardiovascular conditions recorded in my patient history.,current_problems
Tell me about the current status of my reproductive health mentioned in my patient records.,current_problems
Tell me about the history of mental health issues mentioned in my medical records.,illness_history
Provide details on the history of musculoskeletal issues mentioned in my medical records.,illness_history
Provide details about the flu vaccinations in my patient history.,vaccination
Provide a summary of the vaccinations documented in my health records.,vaccination
What can you tell me about allergies to medications that are documented in my patient history?,allergies
Tell me about any ongoing health issues mentioned in my medical history.,current_problems
Who can I speak to about my surgical history?,surgery
Please give me details about any known food allergies in my medical records.,allergies
Can you provide details on the surgical history section of my medical records?,surgery
I'm interested in knowing about the history of endocrine disorders in my health summary.,illness_history
What information do you have about electronic prescriptions in my patient history?,prescription
I'm interested in knowing about the current state of my endocrine health in my health summary.,current_problems
Share information on my present medical conditions as recorded in my health records.,current_problems
Can you provide information on any recent infections or health issues in my medical history?,current_problems
How's your day shaping up?,feeling
What's new with you?,feeling
Tell me about any chronic health problems documented in my health records.,current_problems
How are you coping?,feeling
Could you share any information about drug allergies that may be present in my medical records?,allergies
Provide details on the operations listed in my medical records.,surgery
I'm interested in knowing if there are any drug allergies mentioned in my medical history. Can you give me details?,allergies
Are there specific foods that I should avoid due to intolerances? Please provide details.,intolerances
Can you share information on my surgical interventions and their outcomes?,surgery
Give me an update on the vaccinations  especially any recent ones  mentioned in my patient records.,vaccination
What can you tell me about the surgical procedures listed in my patient history?,surgery
I'm interested in learning about any minor surgeries documented in my history.,surgery
In what areas is your chatbot proficient?,info
What surgical procedures have been documented in my patient history?,surgery
I'd like to know more about the surgical procedures documented in my medical records. What information is available?,surgery
I would like to know if there are any documented prescriptions in my health records. Can you share details about my current medications?,prescription
Can you provide details about the surgical procedures mentioned in my patient history?,surgery
How's your day been so far?,feeling
I'm interested in knowing if there are any implants mentioned in my medical history. Can you give me details?,implants
Give me an update on the current status of my neurological health based on my medical records.,current_problems
Please provide information on any documented intolerances in my health records.,intolerances
Are there any specific foods that I should avoid due to allergies? Please provide details.,allergies
Provide details on the episodes of flu mentioned in my patient records.,illness_history
Please provide information on any allergies or intolerances I should be aware of.,allergies
Hey there!,hello
Could you list any e-prescriptions that are part of my patient history?,prescription
Can you provide specifics on the vaccinations received during my last health check-up?,vaccination
Can you provide details about the e-prescriptions in my medical records?,prescription
I'm interested in understanding my allergic reactions to pollen and dust. Can you provide insights?,allergies
Can you inform me about any allergies to food that are listed in my medical records?,allergies
What's up with you?,feeling
intolerances,intolerances
