input,intent
allergy,allergies
Do I have any allergies?,allergies
Tell me my allergies,allergies
allergies,allergies
food allergies,allergies
Can you tell me about my food allergies?,allergies
I need information on my drug allergies.,allergies
Could you provide details about my allergic reactions to medications?,allergies
What do I need to know about my food intolerances?,allergies
Tell me about any allergies or sensitivities I have to certain foods.,allergies
"I'd like to learn more about my allergies, especially related to foods.",allergies
Can you give me insights into my allergic responses to specific substances?,allergies
I'm curious about my body's reactions to certain foods and drugs.,allergies
Please provide information on any allergies or intolerances I should be aware of.,allergies
What should I be cautious about in terms of allergies and sensitivities?,allergies
Can you provide information about any food allergies I may have?,allergies
I'm interested in learning about potential food allergies. What can you tell me?,allergies
Could you list any known food allergies in my medical history?,allergies
Are there any specific foods that I should avoid due to allergies? Please provide details.,allergies
I would like to know if there are any documented food allergies in my health records. Can you share that information?,allergies
What information do you have about food allergies in my patient history?,allergies
Can you inform me about any allergies to food that are listed in my medical records?,allergies
I need details about potential food allergies. What has been recorded in my health history?,allergies
Are there specific foods I should be cautious about due to allergies? Please elaborate.,allergies
Please provide information on any documented food allergies in my health records.,allergies
I'm interested in knowing if there are any food allergies mentioned in my medical history. Can you give me details?,allergies
What can you tell me about allergies to food that are documented in my patient history?,allergies
Could you share any information about food allergies that may be present in my medical records?,allergies
I want to be aware of any food allergies listed in my health history. Can you provide that information?,allergies
Please give me details about any known food allergies in my medical records.,allergies
Can you provide information about any drug allergies I may have?,allergies
I'm interested in learning about potential drug allergies. What can you tell me?,allergies
Could you list any known drug allergies in my medical history?,allergies
Are there any specific foods that I should avoid due to allergies? Please provide details.,allergies
I would like to know if there are any documented food allergies in my health records. Can you share that information?,allergies
What information do you have about food allergies in my patient history?,allergies
Tell me about any environmental allergies I might have.,allergies
I'm interested in understanding my allergic reactions to pollen and dust. Can you provide insights?,allergies
Could you give me information on my pet allergies and how they may affect my health?,allergies
What should I be aware of regarding seasonal allergies and are there any specific triggers I need to avoid?,allergies
Please share details about any allergies I may have to insect bites or stings.,allergies
I'd like to know if I have any allergies to common medications. Can you provide a list?,allergies
Can you tell me about my skin allergies and any specific substances I should avoid in skincare products?,allergies
I'm curious about potential allergies to certain fabrics. What information do you have on this?,allergies
What should I be cautious about in terms of allergic reactions to household cleaning products?,allergies
Can you provide insights into my allergic responses to specific plants or flowers?,allergies
Are there specific medications that I should avoid due to allergies? Please provide details.,allergies
I would like to know if there are any documented drug allergies in my health records. Can you share that information?,allergies
What information do you have about drug allergies in my patient history?,allergies
Can you inform me about any allergies to medications that are listed in my medical records?,allergies
I need details about potential drug allergies. What has been recorded in my health history?,allergies
Are there specific drugs I should be cautious about due to allergies? Please elaborate.,allergies
Please provide information on any documented drug allergies in my health records.,allergies
I'm interested in knowing if there are any drug allergies mentioned in my medical history. Can you give me details?,allergies
What can you tell me about allergies to medications that are documented in my patient history?,allergies
Could you share any information about drug allergies that may be present in my medical records?,allergies
I want to be aware of any drug allergies listed in my health history. Can you provide that information?,allergies
Please give me details about any known drug allergies in my medical records.,allergies
Tell me about any ongoing health issues mentioned in my medical history.,current_problems
current problems,current_problems
Provide details on my current health problems recorded in my patient records.,current_problems
I'm curious about my present health condition. Can you share specifics from my health summary?,current_problems
What are the current health issues listed in my health records?,current_problems
Can you provide information on my ongoing health concerns?,current_problems
Tell me about the current medical issues mentioned in my health records.,current_problems
I'd like to know the current health conditions documented in my patient profile.,current_problems
Please share details about my existing health problems as per my medical records.,current_problems
What are the present health challenges recorded in my health summary?,current_problems
Can you give me insights into my current health status and any ongoing medical conditions?,current_problems
I'm interested in learning about my recent health problems. What information is available?,current_problems
Provide a summary of my existing health issues based on my patient records.,current_problems
What specific ailments or conditions are currently noted in my medical history?,current_problems
Tell me about any chronic health problems documented in my health records.,current_problems
Please share details on my current health issues and any recommended treatments.,current_problems
What are the active health concerns mentioned in my patient profile?,current_problems
I want to understand my current health status. Can you provide details on my health problems?,current_problems
Share information on my present medical conditions as recorded in my health records.,current_problems
What health problems should I be aware of based on my current medical records?,current_problems
I'm curious about any recent health issues. Could you provide details from my patient records?,current_problems
Can you list the ongoing health problems that are documented in my health history?,current_problems
I'd like to know about my current health challenges. Please provide information from my records.,current_problems
What are the existing health issues noted in my patient profile?,current_problems
Provide details on the health problems I am currently facing as per my medical records.,current_problems
Give me a summary of my current health problems documented in my patient history.,current_problems
Tell me about any chronic conditions or ongoing illnesses mentioned in my health summary.,current_problems
Provide details on my current medications and health concerns recorded in my patient records.,current_problems
I want information on the present respiratory issues mentioned in my medical history. Can you help?,current_problems
Please share details about any recent injuries or health problems documented in my patient history.,current_problems
Give me an update on my current mental health status based on my health records.,current_problems
Can you provide information on any recent infections or health issues in my medical history?,current_problems
Tell me about the current status of my cardiovascular health mentioned in my health summary.,current_problems
I'm interested in knowing about any ongoing digestive issues in my patient records.,current_problems
Provide details on the current state of my reproductive health recorded in my health history.,current_problems
Give me an update on my current musculoskeletal issues based on my medical records.,current_problems
Check if there are any recent instances of skin conditions in my medical history.,current_problems
I need information on my current gastrointestinal health recorded in my patient records.,current_problems
Tell me about any ongoing autoimmune disorders mentioned in my health summary.,current_problems
Give me an update on the current status of my neurological health based on my medical records.,current_problems
Can you provide specifics on any recent injuries or health concerns documented in my patient history?,current_problems
I'm interested in knowing about the current state of my endocrine health in my health summary.,current_problems
Tell me about any instances of diabetes or related conditions in my current health status.,current_problems
I want information on the present respiratory issues mentioned in my medical history. Can you help?,current_problems
Please share details about any ongoing cardiovascular conditions recorded in my patient history.,current_problems
Give me an update on my current mental health diagnoses based on my health records.,current_problems
Can you provide information on any recent episodes of infectious diseases in my medical history?,current_problems
Tell me about the current status of my reproductive health mentioned in my patient records.,current_problems
I'm interested in knowing about any recent surgeries or medical procedures related to my current health issues.,current_problems
Provide details on the current state of my musculoskeletal health recorded in my medical records.,current_problems
How are you doing?,feeling
How's everything going?,feeling
What's up with you?,feeling
How are you holding up?,feeling
How's your day been so far?,feeling
What's new with you?,feeling
How are things on your end?,feeling
How are you feeling today?,feeling
How's life treating you?,feeling
What's going on in your world?,feeling
How are things in your neck of the woods?,feeling
How's your day shaping up?,feeling
How are you fairing?,feeling
What's the status report on you?,feeling
How are you coping?,feeling
How are you managing these days?,feeling
How's everything on your side of the fence?,feeling
What's the good word today?,feeling
How are you keeping?,feeling
How's everything in your world right now?,feeling
hi,hello
hey,hello
hello,hello
hi my name is aliki,hello
hi I'm maria,hello
Hi!,hello
Hey there!,hello
Hello!,hello
Hiya!,hello
Hey!,hello
Howdy!,hello
Greetings!,hello
What's up?,hello
illness history,illness_history
Provide details about any past illnesses mentioned in my medical history.,illness_history
Can you give me an overview of the history of illnesses recorded in my patient records?,illness_history
I'm curious about my past illnesses. Can you share specifics from my health summary?,illness_history
Tell me about any chronic conditions documented in my patient history.,illness_history
What are the major illnesses listed in my health records?,illness_history
Give me a summary of the history of illnesses in my medical history.,illness_history
Provide details on the episodes of flu mentioned in my patient records.,illness_history
Tell me about any instances of allergies or intolerances recorded in my health summary.,illness_history
I want information on the past respiratory illnesses mentioned in my medical history. Can you help?,illness_history
Please share details about any significant illnesses documented in my patient history.,illness_history
Give me an update on the history of cardiovascular illnesses mentioned in my health records.,illness_history
Can you provide information on any past infectious diseases recorded in my patient history?,illness_history
Tell me about the history of mental health issues mentioned in my medical records.,illness_history
I'm interested in knowing about any surgeries related to past illnesses in my health summary.,illness_history
Provide details on the chronic conditions listed in my patient history.,illness_history
Check if there are any past instances of skin conditions in my medical history.,illness_history
I need information on the history of gastrointestinal illnesses recorded in my patient records.,illness_history
Tell me about any autoimmune disorders mentioned in my health summary.,illness_history
Give me an update on the history of neurological illnesses in my medical records.,illness_history
Can you provide specifics on any past injuries documented in my patient history?,illness_history
I'm interested in knowing about the history of endocrine disorders in my health summary.,illness_history
